date,commodity,market_location,price,currency,source,commodity_std,source_type
2013-02-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-03-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-03-01,Grain,India - Wholesale Price Index,122.1,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-03-01,Iron Ore,India - Wholesale Price Index,91.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-04-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-04-01,Grain,India - Wholesale Price Index,122.3,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-04-01,Iron Ore,India - Wholesale Price Index,91.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-05-01,Coal,India - Wholesale Price Index,101.95,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-05-01,Grain,India - Wholesale Price Index,122.333333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-05-01,Iron Ore,India - Wholesale Price Index,90.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-06-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-06-01,Grain,India - Wholesale Price Index,125.5,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-06-01,Iron Ore,India - Wholesale Price Index,90.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-07-01,Grain,India - Wholesale Price Index,126.333333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-07-01,Iron Ore,India - Wholesale Price Index,87.4,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-07-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-08-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-08-01,Grain,India - Wholesale Price Index,126.166667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-08-01,Iron Ore,India - Wholesale Price Index,83.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-09-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-09-01,Grain,India - Wholesale Price Index,127.4,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-09-01,Iron Ore,India - Wholesale Price Index,82.5,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-10-01,Grain,India - Wholesale Price Index,124.9,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-10-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-10-01,Iron Ore,India - Wholesale Price Index,86.7,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-11-01,Coal,India - Wholesale Price Index,103.8,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2013-11-01,Grain,India - Wholesale Price Index,126.066667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
