date,indicator_name,value,unit,source,source_type
2021-07-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-07-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-07-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-07-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-08-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,COKING_COAL_SHIPPING_DEMAND_PROXY,150.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,GRAIN_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,IRON_ORE_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,PALM_OIL_SHIPPING_DEMAND_PROXY,240.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,180.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-09-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,90.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-10-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,COKING_COAL_SHIPPING_DEMAND_PROXY,150.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,GRAIN_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,IRON_ORE_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,PALM_OIL_SHIPPING_DEMAND_PROXY,240.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,180.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-11-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,90.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2021-12-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-01-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,COKING_COAL_SHIPPING_DEMAND_PROXY,140.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,GRAIN_SHIPPING_DEMAND_PROXY,112.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,IRON_ORE_SHIPPING_DEMAND_PROXY,112.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,PALM_OIL_SHIPPING_DEMAND_PROXY,224.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,168.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-02-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,84.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-03-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,COKING_COAL_SHIPPING_DEMAND_PROXY,150.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,Coal Import Value from Australia,14712.31,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2022-04-01,Coal Import Value from Indonesia,14584.15,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2022-04-01,Coal Import Value from Mozambique,1797.2,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
2022-04-01,GRAIN_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,IRON_ORE_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,Iron Ore Import Value from Australia,15.53,USD Million,PRESERVED: original supplied trade-demand dataset,OBSERVED_ORIGINAL
