date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-04-02,Haldia,HFHSD / LSHF HSD,690.366284,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Chennai,Marine Fuel 0.5% / MFO 0.5%,479.018689,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-02,Chennai,HFHSD / LSHF HSD,679.32541,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Visakhapatnam,HFHSD / LSHF HSD,680.433852,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,478.463033,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,685.087623,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Paradip,Marine Fuel 0.5% / MFO 0.5%,464.101721,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Paradip,HFHSD / LSHF HSD,679.855738,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,455.195328,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Kamarajar Port (Ennore),HFHSD / LSHF HSD,678.423115,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Haldia,Marine Fuel 0.5% / MFO 0.5%,458.21041,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Haldia,HFHSD / LSHF HSD,689.469426,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Chennai,Marine Fuel 0.5% / MFO 0.5%,478.463033,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Chennai,HFHSD / LSHF HSD,678.423115,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-03,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,478.463033,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,454.70377,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Visakhapatnam,HFHSD / LSHF HSD,679.535137,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,477.907377,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,684.176831,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Paradip,Marine Fuel 0.5% / MFO 0.5%,463.585628,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Paradip,HFHSD / LSHF HSD,678.954317,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,477.907377,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Haldia,Marine Fuel 0.5% / MFO 0.5%,457.710546,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Haldia,HFHSD / LSHF HSD,688.572568,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
